date,item,price
2011-11-06,12 CT NITRIL,2.78
2011-11-06,FOLGERS,10.48
2011-11-06,SC TWIST UP,0.84
2011-11-06,EGGS,1.88
,Large Irn Bru,1.18
,Gov Bag Charge,0.1
2018-11-11,STB ALL PIN,0.78
2018-11-11,CABLE POUCH,3.5
2018-11-11,TRVL PILLOW,9.97
2020-07-07,GON RELOAD,3.74
2020-07-07,AMOUNT,100
2023-02-04,MIGHTY 4 ONE,9.99
2023-02-04,DELIVERY FEE,2.99
2023-02-04,SERVICE FEE,0.99
2020-10-09,GOGO SQUEEZ,7.49
2020-10-09,NESTLE,5
2020-10-09,CAMPBELLS,2.49
2020-10-09,GG RTE RICE,1.59
2020-10-09,QUAKER CHEWY,1.74
2020-10-09,GG,1.79
2020-10-09,OLD EL PASO,2.99
2020-10-09,GG OIL,5.99
2020-10-09,GG CONDIMENT,3.78
2020-10-09,SPARKLNG ICE,0.95
2020-10-09,SO DELICIOUS,1.52
2020-10-09,SO DELICIOUS,1.52
2020-10-09,Target Circle10%,Unknown
2020-10-09,PROGRESSO,1.59
2020-10-09,PROGRESSO,1.59
2022-11-01,Unknown,Unknown
2022-11-01,SNACK BOX,5
2016-01-08,MICROSOFT SURFACE DOCK,129.99
2016-01-08,MS SURFACE PRO 4 TYPE COVER BR,Unknown
2016-01-08,SURFACE PRO 4 15 256GB,1299.99
2019-01-07,OKR OATMEAL,
2019-01-07,GV MARJORAM,3.97
2019-01-07,BB WHT TUNA,1.32
2019-01-07,QKR OATMEAL,3.24
2019-01-07,FEBREZE,9.97
2019-01-07,SPICERACK,19.97
2019-01-07,NIGHT LIGHT,8.96
2019-01-07,PILLOW COVER,7.83
2019-01-07,AREA RUG,19.87
2019-01-07,AREA RUG,19.87
2020-02-02,BURRITO,Unknown
2020-02-02,BEEF BURRITO,Unknown
Unknown,Unknown,4
Unknown,HAAGEN DAZS CHOC CHIP 125 ML,Unknown
Unknown,Unknown,2.25
Unknown,SPRUITE 15L,
Unknown,KRAFT CHIPS AHOY 3000,3.45
Unknown,Unknown,3.2
Unknown,MAGGIE LAKSA NOODLE 80G,Unknown
Unknown,"MARIGOLD APPLE JUICE 1,5 L",460
Unknown,Unknown,3.05
Unknown,HEINEKEN BEER 330 ML,120
2011-11-06,BREAD,2.88
2011-11-06,BREAD,2.88
2011-11-06,GV PNT BUTTR,3.84
2011-11-06,GV PNT BUTTR,3.84
2011-11-06,GV PNT BUTTR,3.84
2011-11-06,GV PNT BUTTR,3.84
2011-11-06,GV PARM 160Z,4.98
2011-11-06,GV CHNK CHKN,1.98
2011-11-06,GV CHNK CHKN,1.98
2011-11-06,12 CT NITRIL,2.78
2011-11-06,FOLGERS,10.48
2011-11-06,SC TWIST UP,0.84
2011-11-06,EGGS,1.88
2018-05-05,HASS AVOCADOS,2
2018-05-05,LIMES,2
2018-05-05,ROMA TOMATOES,0.48
2022-02-17,Freshly Brewed Coffee-Grande,
2022-02-17,Choice of size: GRANDE,4.5
2013-05-10,POLY ROPE <a>,7.17
2013-05-10,12X16 TARD <A>,32.99
2013-05-10,"1X4X10 ND ,2 <A>",1905
2013-05-10,TARR CLIP <A>,11
2020-02-21,Grande Americano,2.89
2020-02-21,Fresh Squeezed Juice,2.99
2018-09-07,MY Capp Glace Automne,3.69
2018-09-07,Bgn - Glace Choc,0.99
2018-09-07,Bgn - Glace Miel,0.99
2015-09-18,PEBBLE SMAR,99.99
2019-05-11,4PC TENDER CBO,6.49
2020-04-27,BELKIN SCREE,24.99
2020-04-27,EVUTEC CASE,39.99
Unknown,CHS BURGER,4
Unknown,VL FRY,Unknown
Unknown,LG FRY,Unknown
Unknown,OREO SHAKE,13
Unknown,CRETORS MIX,5.89
Unknown,KS WHEAT BRD,3.99
Unknown,FLTRSMSKOKID,6.99
Unknown,PORK EGGROLL,7.59
2013-06-03,VANLLA RLD VL,500
2013-06-03,3.95 ACTVIN FEE,3.95
2013-06-03,VANLLA RLD VL,500
2013-06-03,3.95 ACTVIN FEE,3.95
Unknown,FINISH,2.5
Unknown,FINISH,2.5
Unknown,FINISH,2.5
Unknown,FINISH,2.5
2018-04-25,MSC BALLET F,16.99
2018-04-25,#NAME?,53.99
2018-04-25,O SHEET SET,41.39
2012-07-26,57-EVNING SHOES 1,170
2008-10-20,BANANA EC,1.54
2008-10-20,HAIRCOLOR,7.94
2008-10-20,JACKASS NUM,4
2008-10-20,DONUTS,3.5
2023-02-05,Lorem ipsum dolor sit,30
2023-02-05,Lorem ipsum dolor sit,30
2023-02-05,Lorem ipsum dolor sit,
2019-04-27,DNZN CARGO S,24.99
